-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.32
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.32
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.14,-0.31
-0.13,-0.31
-0.14,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.13,-0.31
-0.12,-0.31
-0.11,-0.31
-0.08,-0.31
-0.05,-0.31
-0.01,-0.29
0.03,-0.28
0.08,-0.26
0.12,-0.23
0.15,-0.20
0.18,-0.16
0.21,-0.11
0.22,-0.07
0.24,-0.02
0.24,0.03
0.24,0.08
0.24,0.10
0.23,0.13
0.23,0.15
0.22,0.16
0.22,0.18
0.21,0.18
0.21,0.19
0.21,0.20
0.21,0.21
0.20,0.21
0.19,0.22
0.18,0.24
0.16,0.27
0.14,0.31
0.09,0.35
